0	0
1.08	1.87
2.16	0
-1.08	1.87
1.08	-1.87
-2.16	0
3.24	1.87
0	3.74
-1.08	-1.87
2.16	3.74
3.24	-1.87
4.32	0
-3.24	1.87
-2.16	3.74
0	-3.74
-3.24	-1.87
4.32	3.74
1.08	5.61
2.16	-3.74
5.39	1.87
-4.32	0
-1.08	5.61
-2.16	-3.74
3.24	5.61
5.39	-1.87
-4.32	3.74
4.32	-3.74
6.47	0
-5.39	1.87
-3.24	5.61
1.08	-5.61
-5.39	-1.87
6.47	3.74
0	7.48
-1.08	-5.61
-4.32	-3.74
5.39	5.61
2.16	7.48
3.24	-5.61
7.55	1.87
-6.47	0
-2.16	7.48
6.47	-3.74
-3.24	-5.61
7.55	-1.87
4.32	7.48
-6.47	3.74
-5.39	5.61
5.39	-5.61
8.63	0
-7.55	1.87
-4.32	7.48
0	-7.48
-6.47	-3.74
7.55	5.61
1.08	9.34
2.16	-7.48
-7.55	-1.87
8.63	3.74
-1.08	9.34
-2.16	-7.48
-5.39	-5.61
6.47	7.48
3.24	9.34
4.32	-7.48
9.71	1.87
-8.63	0
-3.24	9.34
8.63	-3.74
-7.55	5.61
7.55	-5.61
9.71	-1.87
-8.63	3.74
-6.47	7.48
-4.32	-7.48
5.39	9.34
6.47	-7.48
1.08	-9.34
-8.63	-3.74
9.71	5.61
-9.71	1.87
-5.39	9.34
-1.08	-9.34
-7.55	-5.61
8.63	7.48
3.24	-9.34
-9.71	-1.87
-3.24	-9.34
-6.47	-7.48
7.55	9.34
9.71	-5.61
-9.71	5.61
-8.63	7.48
5.39	-9.34
8.63	-7.48
-7.55	9.34
-5.39	-9.34
-9.71	-5.61
7.55	-9.34
-8.63	-7.48
-7.55	-9.34
